,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
533,gorizia,20,UY,1554357600,87,-34.38,-55.24,289.15,3.1
534,gorizia,8,IN,1554359030,33,28.97,76.18,309.799,2.22
535,gorizia,80,MR,1554358801,84,20.52,-13.05,288.049,2.82
536,gorizia,24,LY,1554358701,52,29.14,21.3,286.599,4.62
537,gorizia,0,NG,1554359031,50,12.59,6.58,293.149,1.97
538,gorizia,0,MV,1554359031,100,6.88,73.1,301.499,0.87
539,gorizia,56,BR,1554359032,94,-8.84,-69.26,296.849,1.12
540,gorizia,40,TN,1554357600,87,36.47,8.55,291.15,2.1
541,gorizia,90,GE,1554357600,100,41.96,42.96,281.15,1.0
542,gorizia,32,NG,1554359033,90,5.43,7.07,298.399,3.62
543,gorizia,0,RU,1554358624,71,68.75,161.3,270.949,0.87
544,gorizia,0,PH,1554358811,99,13.32,122.68,301.149,2.97
545,gorizia,1,CA,1554354000,69,53.59,-116.44,276.15,1.5
546,gorizia,76,VN,1554359034,68,15.12,108.8,301.849,1.32
547,gorizia,1,US,1554357180,80,42.62,-113.68,281.15,3.1
548,gorizia,8,ET,1554359036,22,14.16,38.9,296.949,1.67
549,gorizia,92,TR,1554359036,93,37.68,31.72,278.049,1.52
550,gorizia,92,CN,1554359037,51,49.17,125.23,278.149,1.87
551,gorizia,1,US,1554358557,69,21.32,-158.01,297.15,3.1
552,gorizia,0,MX,1554358817,94,25.34,-108.26,289.26,0.52
553,gorizia,8,IN,1554359037,28,25.63,74.93,310.849,2.57
554,gorizia,20,UY,1554358565,87,-34.86,-56.05,290.37,2.1
555,gorizia,75,KE,1554354000,88,-4.05,39.67,300.15,2.6
556,gorizia,44,IR,1554359038,88,29.62,51.65,289.649,1.27
557,gorizia,20,PH,1554358800,74,17.54,120.52,300.699,1.52
558,gorizia,0,ZM,1554358760,47,-15.0,22.67,295.649,5.12
559,gorizia,75,PE,1554357600,88,-13.71,-76.2,294.15,4.1
560,gorizia,20,PF,1554358783,97,-16.78,-151.5,302.749,2.32
561,gorizia,20,NA,1554358676,92,-26.65,15.16,285.799,5.72
562,gorizia,44,CL,1554358536,100,-22.09,-70.2,287.699,1.17
563,gorizia,0,BR,1554354000,94,-5.2,-35.46,297.15,2.1
564,gorizia,68,TM,1554359041,51,39.51,54.36,285.899,2.17
565,gorizia,0,PH,1554359041,35,11.0,122.67,306.449,6.02
566,gorizia,40,IT,1554357300,87,39.93,9.66,285.15,3.1
567,gorizia,0,CF,1554359042,22,10.3,22.78,296.499,5.87
568,gorizia,44,CO,1554359042,69,6.19,-67.49,294.899,1.12
569,gorizia,44,NZ,1554358085,78,-35.1,173.78,290.93,3.07
570,gorizia,80,RU,1554359043,83,59.58,151.3,275.249,7.32
571,gorizia,44,RU,1554359042,37,51.73,103.71,273.15,2.24
572,gorizia,90,US,1554358704,82,30.23,-93.22,292.15,7.2
573,gorizia,80,PG,1554358728,100,-2.02,147.27,301.299,3.32
574,gorizia,90,IT,1554358999,76,45.94,13.63,288.15,4.1
